Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.495631217956543	0	15.492308	6.194596	40.0	8.0	15.492307692307692	6.194595850536118	1007	1007
6.643130302429199	1	26.81579	21.2762	143.0	10.0	26.81578947368421	21.276197799366873	1019	2026
9.246064901351929	2	42.04	24.879679	126.0	15.0	42.04	24.879678454513837	1051	3077
11.57900595664978	3	49.333332	16.697115	77.0	26.0	49.333333333333336	16.69711504403233	1036	4113
13.914876937866211	4	54.157894	19.612732	107.0	26.0	54.1578947368421	19.612732593353567	1029	5142
16.5197331905365	5	50.761906	25.50799	100.0	14.0	50.76190476190476	25.507990833695274	1066	6208
18.990822315216064	6	45.695652	18.827442	79.0	22.0	45.69565217391305	18.827442465509236	1051	7259
21.43871521949768	7	46.772728	19.502754	104.0	20.0	46.77272727272727	19.502754626373395	1029	8288
23.75375533103943	8	67.6	39.094414	168.0	25.0	67.6	39.09441562849268	1014	9302
26.083790063858032	9	64.8125	26.749342	123.0	33.0	64.8125	26.749342865760273	1037	10339
28.604732990264893	10	59.35294	39.750607	200.0	21.0	59.35294117647059	39.75060661981901	1009	11348
31.036252975463867	11	58.11111	20.338495	101.0	31.0	58.111111111111114	20.338493577147112	1046	12394
33.48928117752075	12	77.85714	33.56626	167.0	30.0	77.85714285714286	33.56626100046027	1090	13484
35.79352807998657	13	73.35714	29.363747	132.0	28.0	73.35714285714286	29.363746215984342	1027	14511
38.15088224411011	14	85.333336	46.408215	200.0	38.0	85.33333333333333	46.40821287468655	1024	15535
40.66278314590454	15	48.666668	20.90644	120.0	27.0	48.666666666666664	20.906443147493192	1022	16557
43.05071210861206	16	53.85	21.102783	104.0	19.0	53.85	21.10278417650145	1077	17634
45.328516244888306	17	44.04348	17.62774	85.0	14.0	44.04347826086956	17.627740640127833	1013	18647
47.73965501785278	18	40.76923	14.695127	85.0	21.0	40.76923076923077	14.695126592245819	1060	19707
50.195680141448975	19	36.535713	15.062921	80.0	14.0	36.535714285714285	15.062920753713504	1023	20730
52.505834102630615	20	38.53846	13.837604	62.0	14.0	38.53846153846154	13.837604198011604	1002	21732
54.99495720863342	21	39.074074	17.339584	89.0	14.0	39.074074074074076	17.339584184697646	1055	22787
57.369994163513184	22	33.5	11.491302	68.0	18.0	33.5	11.49130105775669	1005	23792
59.72200918197632	23	34.517242	11.463948	58.0	17.0	34.51724137931034	11.46394855745362	1001	24793
62.00120306015015	24	37.555557	13.107344	77.0	20.0	37.55555555555556	13.10734409160767	1014	25807
64.2267861366272	25	34.333332	11.793595	65.0	17.0	34.333333333333336	11.793595248646142	1030	26837
66.52925610542297	26	30.757576	9.502888	59.0	17.0	30.757575757575758	9.502887290204034	1015	27852
68.85421323776245	27	32.65625	15.769054	69.0	14.0	32.65625	15.769054693845792	1045	28897
71.20691728591919	28	26.421053	8.456177	43.0	14.0	26.42105263157895	8.456176748847923	1004	29901
73.60025715827942	29	20.591837	8.87307	68.0	11.0	20.591836734693878	8.873069476372207	1009	30910
75.9308979511261	30	19.288462	7.1504073	53.0	11.0	19.28846153846154	7.1504075689688396	1003	31913
78.28747224807739	31	19.843138	11.162563	84.0	9.0	19.84313725490196	11.162564448171956	1012	32925
80.72738313674927	32	16.306452	7.682382	56.0	9.0	16.306451612903224	7.682381833439123	1011	33936
83.05575823783875	33	16.688524	6.604869	45.0	9.0	16.688524590163933	6.604869002824908	1018	34954
85.4031810760498	34	16.733334	6.5239735	43.0	9.0	16.733333333333334	6.523972886380064	1004	35958
87.64630818367004	35	16.564516	6.941276	41.0	9.0	16.56451612903226	6.941276650592629	1027	36985
89.97253608703613	36	18.574074	7.7926884	44.0	8.0	18.574074074074073	7.792688529193987	1003	37988
92.41739225387573	37	22.043478	10.329267	59.0	10.0	22.043478260869566	10.32926724481194	1014	39002
94.66211009025574	38	23.952381	11.834076	71.0	11.0	23.952380952380953	11.834075860578338	1006	40008
96.93336415290833	39	27.081081	17.893646	104.0	10.0	27.08108108108108	17.89364733774196	1002	41010
99.27669095993042	40	29.4	14.361058	86.0	11.0	29.4	14.361058456812994	1029	42039
101.66055703163147	41	32.80645	14.279286	87.0	15.0	32.806451612903224	14.279286498029935	1017	43056
104.10370111465454	42	42.333332	23.753363	138.0	18.0	42.333333333333336	23.753362335093154	1016	44072
106.5739951133728	43	38.37037	20.046516	101.0	11.0	38.370370370370374	20.04651654998323	1036	45108
108.99040794372559	44	40.76	22.249998	100.0	14.0	40.76	22.249997752808873	1019	46127
111.37243223190308	45	43.04	19.541708	82.0	18.0	43.04	19.541709239470325	1076	47203
113.7069001197815	46	42.6	18.443428	78.0	12.0	42.6	18.443427013437606	1065	48268
116.02280926704407	47	45.391304	26.764252	126.0	18.0	45.391304347826086	26.76425119028996	1044	49312
118.37113904953003	48	37.925926	17.8656	73.0	13.0	37.925925925925924	17.865600975526547	1024	50336
120.61733508110046	49	43.826088	27.06458	120.0	12.0	43.82608695652174	27.06458005186378	1008	51344
123.10306000709534	50	47.904762	23.56128	105.0	20.0	47.904761904761905	23.56127727539559	1006	52350
125.44279408454895	51	62.117645	42.890945	200.0	17.0	62.11764705882353	42.8909456411616	1056	53406
127.80797600746155	52	48.772728	19.512075	113.0	17.0	48.77272727272727	19.512075091598156	1073	54479
130.20789313316345	53	43.652172	39.336464	200.0	16.0	43.65217391304348	39.336462447490085	1004	55483
132.52123594284058	54	42.75	19.814241	104.0	15.0	42.75	19.814241511263223	1026	56509
