Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.2476179599761963	0	15.492308	6.194596	40.0	8.0	15.492307692307692	6.194595850536118	1007	1007
4.2933268547058105	1	33.666668	20.951267	77.0	10.0	33.666666666666664	20.95126620411176	1010	2017
5.857463836669922	2	20.916666	8.757934	53.0	10.0	20.916666666666668	8.757932911874176	1004	3021
7.389309883117676	3	13.116883	3.9738562	25.0	8.0	13.116883116883116	3.973856205524112	1010	4031
8.918536901473999	4	12.78481	4.1511655	28.0	8.0	12.784810126582279	4.15116541841405	1010	5041
10.390941858291626	5	11.032967	2.1760461	20.0	8.0	11.032967032967033	2.176046164721945	1004	6045
11.878744125366211	6	11.528735	2.185843	20.0	8.0	11.528735632183908	2.185843062899736	1003	7048
13.384765863418579	7	13.289474	3.299983	27.0	8.0	13.289473684210526	3.299983211574856	1010	8058
15.0205819606781	8	16.85	4.942418	36.0	10.0	16.85	4.942418436352795	1011	9069
16.57136583328247	9	24.95122	9.336399	55.0	10.0	24.951219512195124	9.336399315117504	1023	10092
18.03877878189087	10	34.266666	10.908509	65.0	16.0	34.266666666666666	10.9085084019565	1028	11120
19.484379768371582	11	40.96	13.654244	76.0	25.0	40.96	13.654244761245492	1024	12144
20.947402954101562	12	50.6	18.919304	99.0	27.0	50.6	18.91930231271756	1012	13156
22.424474954605103	13	78.23077	32.13949	146.0	44.0	78.23076923076923	32.139488881469944	1017	14173
23.962093114852905	14	80.38461	23.898949	136.0	47.0	80.38461538461539	23.898949000188473	1045	15218
25.694780826568604	15	88.416664	24.85779	124.0	47.0	88.41666666666667	24.857789970595178	1061	16279
27.355023860931396	16	75.14286	15.733754	121.0	52.0	75.14285714285714	15.733754174009562	1052	17331
28.8804988861084	17	74.78571	24.003508	149.0	49.0	74.78571428571429	24.003507396773053	1047	18378
30.444221019744873	18	68.0	18.850288	105.0	41.0	68.0	18.850287354131588	1020	19398
32.01144599914551	19	70.933334	11.162238	94.0	50.0	70.93333333333334	11.162237927743503	1064	20462
33.616353034973145	20	69.6	18.355019	121.0	44.0	69.6	18.35501747933427	1044	21506
35.290080070495605	21	80.46154	30.269596	146.0	50.0	80.46153846153847	30.269597300097324	1046	22552
37.21203684806824	22	72.26667	21.776031	114.0	44.0	72.26666666666667	21.77603167603215	1084	23636
38.80277991294861	23	72.78571	40.95499	180.0	41.0	72.78571428571429	40.95499022695276	1019	24655
40.38311505317688	24	67.46667	17.519005	109.0	39.0	67.46666666666667	17.51900555270063	1012	25667
41.959789752960205	25	67.666664	21.328125	117.0	36.0	67.66666666666667	21.328124364061853	1015	26682
43.61511993408203	26	79.92308	31.445831	170.0	40.0	79.92307692307692	31.44583019553452	1039	27721
45.20708203315735	27	59.705883	17.360416	94.0	40.0	59.705882352941174	17.36041713338083	1015	28736
46.923237800598145	28	56.166668	17.218369	93.0	35.0	56.166666666666664	17.21836874451881	1011	29747
48.57897877693176	29	46.136364	11.140816	78.0	32.0	46.13636363636363	11.140815436719224	1015	30762
50.19787073135376	30	43.869564	10.443655	64.0	29.0	43.869565217391305	10.44365564777128	1009	31771
51.805296897888184	31	42.625	7.8730154	58.0	29.0	42.625	7.873015622999868	1023	32794
53.435537815093994	32	39.307693	5.2825494	50.0	26.0	39.30769230769231	5.282549142581352	1022	33816
54.99356698989868	33	39.115383	7.040142	51.0	29.0	39.11538461538461	7.040142716412475	1017	34833
56.801286935806274	34	37.035713	7.3118405	51.0	25.0	37.035714285714285	7.311840411557246	1037	35870
58.55365991592407	35	39.923077	8.430362	58.0	26.0	39.92307692307692	8.43036214626393	1038	36908
60.155470848083496	36	33.9	7.533702	52.0	23.0	33.9	7.533702055873106	1017	37925
61.75394678115845	37	35.892857	6.9966283	55.0	26.0	35.892857142857146	6.996628196670807	1005	38930
63.35790395736694	38	36.75	6.890081	52.0	20.0	36.75	6.890080862059188	1029	39959
64.97052693367004	39	35.517242	5.852324	45.0	27.0	35.51724137931034	5.852324558228078	1030	40989
66.61075687408447	40	34.517242	7.309044	45.0	21.0	34.51724137931034	7.309043475581666	1001	41990
68.39620399475098	41	35.103447	4.9224668	43.0	27.0	35.10344827586207	4.9224666341749845	1018	43008
69.96552801132202	42	36.0	7.055899	48.0	26.0	36.0	7.055899254220845	1008	44016
71.54767799377441	43	36.964287	7.3410883	52.0	27.0	36.964285714285715	7.341088586351009	1035	45051
73.16619491577148	44	35.448277	6.333198	48.0	26.0	35.44827586206897	6.333197737247159	1028	46079
74.7497079372406	45	40.28	7.8001027	57.0	28.0	40.28	7.800102563428252	1007	47086
76.33123469352722	46	41.916668	8.097925	57.0	31.0	41.916666666666664	8.097924974268958	1006	48092
78.08723783493042	47	42.166668	8.863157	61.0	30.0	42.166666666666664	8.863157200205555	1012	49104
79.79211401939392	48	47.954544	7.911311	61.0	28.0	47.95454545454545	7.911311078146694	1055	50159
81.34816002845764	49	53.31579	11.801216	81.0	34.0	53.31578947368421	11.801215956880961	1013	51172
