Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.704817295074463	0	21.25	7.25	44.0	10.0	21.25	7.25	1020	1020
5.108479261398315	1	37.607143	17.011213	78.0	13.0	37.607142857142854	17.0112132886229	1053	2073
6.872444152832031	2	43.95652	11.62261	70.0	26.0	43.95652173913044	11.622610126928068	1011	3084
8.54887318611145	3	42.72	12.956914	76.0	24.0	42.72	12.956913212644437	1068	4152
10.216707229614258	4	50.04762	14.327717	79.0	21.0	50.04761904761905	14.327716032641703	1051	5203
11.871555089950562	5	56.27778	24.478575	128.0	28.0	56.27777777777778	24.478574657931997	1013	6216
13.685957193374634	6	53.842106	15.3494835	102.0	35.0	53.8421052631579	15.349483646020344	1023	7239
15.380587100982666	7	71.066666	31.014978	148.0	37.0	71.06666666666666	31.01497846023577	1066	8305
17.15766406059265	8	69.75	27.270634	133.0	33.0	69.75	27.270634389394026	1116	9421
18.802956104278564	9	67.73333	28.650694	145.0	32.0	67.73333333333333	28.650693224112786	1016	10437
20.526469230651855	10	69.2	35.052723	189.0	31.0	69.2	35.05272219576296	1038	11475
22.202924013137817	11	77.15385	39.712128	180.0	33.0	77.15384615384616	39.712129814930215	1003	12478
24.121639251708984	12	88.666664	30.619532	145.0	41.0	88.66666666666667	30.619528989773105	1064	13542
26.01302719116211	13	72.64286	34.08101	177.0	35.0	72.64285714285714	34.081010931638296	1017	14559
27.739318132400513	14	81.07692	33.78999	184.0	46.0	81.07692307692308	33.78998836355922	1054	15613
29.500022172927856	15	112.0	43.33359	200.0	61.0	112.0	43.33358974283114	1120	16733
31.180294275283813	16	93.09091	33.478497	172.0	59.0	93.0909090909091	33.47849932950059	1024	17757
32.947455167770386	17	127.375	42.331837	200.0	81.0	127.375	42.33183642366582	1019	18776
34.80971693992615	18	186.33333	20.949673	200.0	145.0	186.33333333333334	20.94967514996089	1118	19894
36.77360010147095	19	200.0	0.0	200.0	200.0	200.0	0.0	1200	21094
38.73596429824829	20	199.83333	0.37267798	200.0	199.0	199.83333333333334	0.3726779962499649	1199	22293
40.50235915184021	21	178.33333	23.127665	200.0	144.0	178.33333333333334	23.12766501160221	1070	23363
42.308088064193726	22	102.90909	48.841965	200.0	42.0	102.9090909090909	48.841961366049226	1132	24495
44.08319115638733	23	39.576923	15.472489	79.0	14.0	39.57692307692308	15.47248942459108	1029	25524
45.8740291595459	24	25.125	10.588171	50.0	10.0	25.125	10.588171466310886	1005	26529
47.62115716934204	25	29.6	9.227908	53.0	11.0	29.6	9.227907981459596	1036	27565
49.365365982055664	26	33.633335	10.271266	59.0	14.0	33.63333333333333	10.271265203902043	1009	28574
51.072564363479614	27	52.35	22.577147	122.0	20.0	52.35	22.577145523737055	1047	29621
52.79821729660034	28	69.933334	20.882105	131.0	40.0	69.93333333333334	20.882102916665797	1049	30670
54.6423180103302	29	111.6	27.229397	159.0	60.0	111.6	27.229395880188015	1116	31786
56.456120014190674	30	117.333336	36.709064	162.0	58.0	117.33333333333333	36.709066394496546	1056	32842
58.36198019981384	31	154.57143	45.79724	200.0	79.0	154.57142857142858	45.797246151947185	1082	33924
60.079509973526	32	143.28572	23.419859	190.0	121.0	143.28571428571428	23.41985900722648	1003	34927
61.7836480140686	33	161.0	39.009155	200.0	97.0	161.0	39.00915643428201	1127	36054
63.349340200424194	34	169.16667	24.969425	200.0	138.0	169.16666666666666	24.969425748747653	1015	37069
65.15816617012024	35	155.14285	35.142277	200.0	120.0	155.14285714285714	35.14227641796608	1086	38155
66.93477511405945	36	158.0	34.948944	200.0	98.0	158.0	34.94894235064305	1106	39261
68.92935919761658	37	160.28572	40.411156	200.0	106.0	160.28571428571428	40.41115222917798	1122	40383
70.67505216598511	38	132.375	41.46968	200.0	80.0	132.375	41.469680189265986	1059	41442
72.43704915046692	39	155.71428	36.200687	200.0	88.0	155.71428571428572	36.200687782393956	1090	42532
74.20691299438477	40	177.5	23.214579	200.0	132.0	177.5	23.214578752729214	1065	43597
75.94109725952148	41	169.5	23.450302	200.0	126.0	169.5	23.450302059177545	1017	44614
77.68695497512817	42	162.71428	39.20537	200.0	99.0	162.71428571428572	39.205372393203916	1139	45753
79.44189119338989	43	174.83333	23.291033	199.0	132.0	174.83333333333334	23.29103308619483	1049	46802
81.22117018699646	44	167.14285	44.111637	200.0	98.0	167.14285714285714	44.1116394469065	1170	47972
83.02263021469116	45	125.77778	22.409214	178.0	100.0	125.77777777777777	22.409213272807524	1132	49104
84.82259511947632	46	140.375	37.332752	197.0	94.0	140.375	37.3327520416055	1123	50227
86.551833152771	47	127.375	30.764986	187.0	97.0	127.375	30.76498618559742	1019	51246
88.32022333145142	48	130.5	32.53844	191.0	96.0	130.5	32.53843880704789	1044	52290
90.17328095436096	49	123.22222	33.835476	200.0	85.0	123.22222222222223	33.835477034805336	1109	53399
91.97893714904785	50	134.5	20.820663	176.0	108.0	134.5	20.820662813657012	1076	54475
93.68600916862488	51	118.0	28.62788	170.0	86.0	118.0	28.627880738111852	1062	55537
95.55960702896118	52	121.22222	29.479853	164.0	83.0	121.22222222222223	29.47985292356564	1091	56628
97.42785000801086	53	134.875	34.545033	200.0	90.0	134.875	34.5450340135887	1079	57707
99.3261833190918	54	135.375	40.373066	200.0	84.0	135.375	40.37306496911028	1083	58790
101.10210514068604	55	144.71428	34.783882	200.0	91.0	144.71428571428572	34.78388085517398	1013	59803
102.88979411125183	56	112.8	25.521755	157.0	84.0	112.8	25.52175542551883	1128	60931
