Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.592153787612915	0	23.488373	14.075168	93.0	9.0	23.488372093023255	14.075167136061241	1010	1010
6.909193992614746	1	40.24	13.393372	78.0	24.0	40.24	13.393371494885072	1006	2016
9.436478853225708	2	44.782608	16.594805	74.0	21.0	44.78260869565217	16.594804115429916	1030	3046
11.786355972290039	3	44.217392	17.492748	94.0	24.0	44.21739130434783	17.492747619561186	1017	4063
14.06953477859497	4	45.954544	15.040786	74.0	22.0	45.95454545454545	15.040784773793229	1011	5074
16.564267873764038	5	44.304348	15.129685	80.0	23.0	44.30434782608695	15.12968513885058	1019	6093
18.987971782684326	6	48.38095	19.570328	107.0	24.0	48.38095238095238	19.570327856893556	1016	7109
21.362154960632324	7	40.04	13.736026	76.0	22.0	40.04	13.736025626068118	1001	8110
23.725627899169922	8	42.333332	16.32908	76.0	23.0	42.333333333333336	16.329081079132678	1016	9126
25.959667921066284	9	38.653847	13.758752	76.0	22.0	38.65384615384615	13.758751921517803	1005	10131
28.60296869277954	10	42.48	16.436836	87.0	20.0	42.48	16.436836678631323	1062	11193
30.913022994995117	11	40.04	14.906321	75.0	19.0	40.04	14.906320806959712	1001	12194
33.131149768829346	12	47.857143	32.549282	153.0	18.0	47.857142857142854	32.54928236248727	1005	13199
35.427780866622925	13	42.833332	19.45222	86.0	17.0	42.833333333333336	19.45222066728858	1028	14227
37.81839990615845	14	34.566666	18.001266	97.0	17.0	34.56666666666667	18.001265387620826	1037	15264
40.23132681846619	15	32.322582	10.007698	50.0	19.0	32.32258064516129	10.007697349715187	1002	16266
42.61820888519287	16	40.346153	18.875998	83.0	17.0	40.34615384615385	18.875996779981445	1049	17315
44.87444090843201	17	35.964287	17.331808	81.0	15.0	35.964285714285715	17.3318083774502	1007	18322
47.19311285018921	18	36.535713	14.36385	77.0	19.0	36.535714285714285	14.363848824783158	1023	19345
49.63690686225891	19	34.066666	16.488245	91.0	15.0	34.06666666666667	16.48824497095498	1022	20367
52.01780295372009	20	29.114286	8.571619	56.0	18.0	29.114285714285714	8.571619045502693	1019	21386
54.44144082069397	21	31.060606	12.017511	63.0	15.0	31.060606060606062	12.01751094568506	1025	22411
56.77929496765137	22	27.675676	8.262759	50.0	17.0	27.675675675675677	8.262759352118998	1024	23435
59.154620885849	23	34.032257	17.075703	95.0	16.0	34.03225806451613	17.075702169414996	1055	24490
61.57534694671631	24	34.366665	20.833439	116.0	17.0	34.36666666666667	20.833439999726934	1031	25521
63.8107807636261	25	35.344826	13.832187	77.0	19.0	35.3448275862069	13.832186009371753	1025	26546
66.13905096054077	26	37.407406	14.174206	89.0	18.0	37.407407407407405	14.174205207998916	1010	27556
68.48722887039185	27	37.925926	16.422491	98.0	18.0	37.925925925925924	16.422491185421713	1024	28580
70.92408776283264	28	45.130436	19.93534	93.0	20.0	45.130434782608695	19.935339710578837	1038	29618
73.29734396934509	29	40.307693	17.11897	87.0	22.0	40.30769230769231	17.11897110219049	1048	30666
75.60607671737671	30	37.148148	10.902612	59.0	20.0	37.148148148148145	10.902611660289896	1003	31669
77.99874258041382	31	42.833332	17.140757	87.0	19.0	42.833333333333336	17.140757146507724	1028	32697
80.36740970611572	32	39.23077	13.089361	75.0	25.0	39.23076923076923	13.089360601142651	1020	33717
82.65500473976135	33	41.916668	12.599328	71.0	23.0	41.916666666666664	12.599327583468714	1006	34723
85.06917977333069	34	36.214287	14.605177	88.0	22.0	36.214285714285715	14.605178002674117	1014	35737
87.36323881149292	35	39.384617	16.438877	86.0	22.0	39.38461538461539	16.438877284976993	1024	36761
89.72714495658875	36	39.923077	10.328911	79.0	24.0	39.92307692307692	10.328910423299467	1038	37799
92.20173788070679	37	45.954544	16.69098	89.0	23.0	45.95454545454545	16.69098088715	1011	38810
94.49664282798767	38	41.48	16.134733	87.0	23.0	41.48	16.13473272167841	1037	39847
96.82514572143555	39	36.535713	10.864366	65.0	23.0	36.535714285714285	10.864365548687609	1023	40870
99.11063480377197	40	35.857143	12.149998	68.0	21.0	35.857142857142854	12.149997900394544	1004	41874
101.50197577476501	41	34.896553	9.466254	59.0	20.0	34.89655172413793	9.46625523157883	1012	42886
103.9764757156372	42	32.677418	8.596275	58.0	22.0	32.67741935483871	8.596274875047175	1013	43899
106.40757083892822	43	33.8	7.5868306	51.0	22.0	33.8	7.586830695356263	1014	44913
108.7512457370758	44	32.419353	7.142667	45.0	23.0	32.41935483870968	7.142666862338433	1005	45918
111.0063009262085	45	31.060606	5.548352	43.0	18.0	31.060606060606062	5.548351619471913	1025	46943
113.35218572616577	46	31.90625	7.6540813	47.0	22.0	31.90625	7.654081325508633	1021	47964
115.71231889724731	47	33.833332	7.5722446	52.0	22.0	33.833333333333336	7.572244640058116	1015	48979
118.03685092926025	48	33.83871	8.00039	52.0	23.0	33.83870967741935	8.00039020900593	1049	50028
