Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.6903889179229736	0	21.25	7.25	44.0	10.0	21.25	7.25	1020	1020
5.072778940200806	1	22.170214	10.275605	55.0	10.0	22.170212765957448	10.275604551115272	1042	2062
6.66754412651062	2	25.846153	14.88165	86.0	11.0	25.846153846153847	14.88165013861454	1008	3070
8.307769775390625	3	32.3125	15.8911085	73.0	13.0	32.3125	15.891108952807542	1034	4104
9.878977060317993	4	31.46875	15.068561	91.0	11.0	31.46875	15.068560761980555	1007	5111
11.452395915985107	5	40.2	21.280977	89.0	12.0	40.2	21.280977421161836	1005	6116
13.091066837310791	6	41.44	19.31855	100.0	15.0	41.44	19.31855067027545	1036	7152
14.749880075454712	7	43.2	24.372116	112.0	12.0	43.2	24.372115213907882	1080	8232
16.347790718078613	8	48.238094	23.559258	104.0	13.0	48.23809523809524	23.559256116287596	1013	9245
17.9754638671875	9	45.347828	21.410295	98.0	20.0	45.34782608695652	21.41029556413613	1043	10288
19.671185970306396	10	45.652172	23.122751	117.0	19.0	45.65217391304348	23.12275125734143	1050	11338
21.294348001480103	11	44.541668	18.17044	89.0	18.0	44.541666666666664	18.170441121655678	1069	12407
22.872707843780518	12	53.210526	19.313423	95.0	26.0	53.21052631578947	19.313423058828995	1011	13418
24.475517988204956	13	51.35	22.557205	95.0	16.0	51.35	22.557205057364712	1027	14445
26.033272981643677	14	45.545456	19.492952	111.0	22.0	45.54545454545455	19.492952742249447	1002	15447
27.66667914390564	15	43.12	17.02779	84.0	19.0	43.12	17.027789052017294	1078	16525
29.31278109550476	16	57.68421	29.210764	148.0	24.0	57.68421052631579	29.21076339401184	1096	17621
30.9185950756073	17	55.42105	17.753624	94.0	30.0	55.421052631578945	17.753623172019623	1053	18674
32.501972913742065	18	60.0	23.646912	107.0	25.0	60.0	23.646912495889083	1020	19694
34.134639739990234	19	50.38095	20.742126	92.0	18.0	50.38095238095238	20.742126883817846	1058	20752
35.7214457988739	20	54.05263	22.63317	113.0	26.0	54.05263157894737	22.63317007870604	1027	21779
37.29949116706848	21	52.789474	30.167215	145.0	15.0	52.78947368421053	30.167216342053422	1003	22782
38.90784311294556	22	53.894737	22.489517	118.0	22.0	53.89473684210526	22.48951741038034	1024	23806
40.53686499595642	23	54.526318	18.576635	116.0	30.0	54.526315789473685	18.57663620633139	1036	24842
