Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.7510581016540527	0	21.25	7.25	44.0	10.0	21.25	7.25	1020	1020
5.198604106903076	1	38.884617	18.295284	82.0	14.0	38.88461538461539	18.295285065319472	1011	2031
6.953562021255493	2	42.541668	21.104855	110.0	16.0	42.541666666666664	21.104855615605516	1021	3052
8.66527009010315	3	60.35294	20.973207	115.0	30.0	60.35294117647059	20.973207492559442	1026	4078
10.451272010803223	4	67.2	43.860687	157.0	23.0	67.2	43.860688549086866	1008	5086
12.182072877883911	5	79.69231	49.943638	200.0	23.0	79.6923076923077	49.94363687103018	1036	6122
14.118961095809937	6	74.64286	30.574516	132.0	29.0	74.64285714285714	30.574515865474684	1045	7167
15.918297052383423	7	81.92308	30.572643	131.0	41.0	81.92307692307692	30.572641209626365	1065	8232
17.660412073135376	8	91.63636	42.002758	199.0	43.0	91.63636363636364	42.00275473059687	1008	9240
19.429656982421875	9	95.27273	49.812542	200.0	21.0	95.27272727272727	49.81254115379326	1048	10288
21.20074200630188	10	95.181816	47.307156	184.0	26.0	95.18181818181819	47.30715529545991	1047	11335
22.90821099281311	11	84.75	19.14038	127.0	58.0	84.75	19.140380525649604	1017	12352
24.9022958278656	12	74.07143	21.22823	106.0	20.0	74.07142857142857	21.228230145305115	1037	13389
26.804789066314697	13	56.210526	19.898634	93.0	13.0	56.21052631578947	19.898635095663224	1068	14457
28.53334903717041	14	61.52941	41.550983	200.0	14.0	61.529411764705884	41.550985897638384	1046	15503
30.255783081054688	15	34.551723	19.900764	82.0	12.0	34.55172413793103	19.900764509481316	1002	16505
32.00367593765259	16	30.441177	17.206686	89.0	11.0	30.441176470588236	17.20668675847132	1035	17540
33.83427119255066	17	20.313726	10.869079	58.0	11.0	20.313725490196077	10.869078637789327	1036	18576
35.91236901283264	18	20.14	8.697149	43.0	9.0	20.14	8.69714895813565	1007	19583
37.72234106063843	19	18.592592	11.449597	69.0	10.0	18.59259259259259	11.449597305741753	1004	20587
39.52436113357544	20	23.25	10.879766	56.0	10.0	23.25	10.879766458054979	1023	21610
41.400020122528076	21	29.028572	12.433792	58.0	11.0	29.02857142857143	12.43379200700532	1016	22626
43.25315594673157	22	42.333332	12.4454365	82.0	21.0	42.333333333333336	12.445436468396313	1016	23642
45.26861023902893	23	49.285713	10.6598625	78.0	33.0	49.285714285714285	10.659861774958644	1035	24677
47.225594997406006	24	54.157894	16.658373	89.0	28.0	54.1578947368421	16.658372820943562	1029	25706
49.16080284118652	25	56.333332	13.059691	76.0	27.0	56.333333333333336	13.059692016106489	1014	26720
51.075828075408936	26	77.76923	23.132242	134.0	46.0	77.76923076923077	23.1322413898	1011	27731
53.04865908622742	27	70.2	20.087143	121.0	50.0	70.2	20.0871434836647	1053	28784
55.26350808143616	28	91.07692	39.235897	200.0	49.0	91.07692307692308	39.23589710076444	1184	29968
57.33339190483093	29	79.23077	12.992032	115.0	63.0	79.23076923076923	12.99203215083322	1030	30998
59.29520297050476	30	104.2	32.043095	154.0	64.0	104.2	32.04309598025759	1042	32040
61.297780990600586	31	96.36364	25.03188	145.0	70.0	96.36363636363636	25.031880499121797	1060	33100
63.293522119522095	32	91.36364	15.161391	119.0	73.0	91.36363636363636	15.161390721007137	1005	34105
65.38412308692932	33	96.454544	17.655098	149.0	82.0	96.45454545454545	17.655097828639835	1061	35166
67.52900409698486	34	91.454544	14.723906	106.0	52.0	91.45454545454545	14.723905338929345	1006	36172
69.53365111351013	35	84.333336	18.97074	112.0	32.0	84.33333333333333	18.97073770017626	1012	37184
71.5617139339447	36	91.166664	10.374916	111.0	76.0	91.16666666666667	10.374916331657277	1094	38278
73.57077312469482	37	89.0	17.092884	108.0	43.0	89.0	17.09288350942189	1068	39346
75.68753600120544	38	85.0	16.083117	105.0	45.0	85.0	16.08311744241976	1020	40366
77.80577898025513	39	93.454544	20.672176	126.0	42.0	93.45454545454545	20.6721755743126	1028	41394
79.82150626182556	40	96.90909	10.517989	116.0	82.0	96.9090909090909	10.517989312295088	1066	42460
81.85437297821045	41	90.833336	19.108608	112.0	35.0	90.83333333333333	19.108607717175236	1090	43550
83.82413101196289	42	91.545456	12.175711	114.0	67.0	91.54545454545455	12.17571081638758	1007	44557
85.85556697845459	43	85.0	36.542213	186.0	28.0	85.0	36.542213032783515	1020	45577
87.89821815490723	44	89.333336	13.1993265	104.0	56.0	89.33333333333333	13.199326582148888	1072	46649
89.95109701156616	45	88.833336	16.816824	117.0	55.0	88.83333333333333	16.816823586978472	1066	47715
91.96522188186646	46	88.75	26.350601	160.0	45.0	88.75	26.350600878664356	1065	48780
93.94063591957092	47	89.25	10.288546	116.0	76.0	89.25	10.288545410633452	1071	49851
96.00019907951355	48	83.416664	18.126677	128.0	58.0	83.41666666666667	18.126676167706226	1001	50852
98.07217597961426	49	83.30769	36.57949	177.0	37.0	83.3076923076923	36.579491133661676	1083	51935
100.11932492256165	50	79.46154	21.417517	114.0	49.0	79.46153846153847	21.41751757724498	1033	52968
102.093257188797	51	80.07692	18.94714	115.0	54.0	80.07692307692308	18.947139172979035	1041	54009
104.0655779838562	52	77.46154	17.62697	107.0	45.0	77.46153846153847	17.62696965367552	1007	55016
105.99835920333862	53	84.166664	22.527145	132.0	36.0	84.16666666666667	22.527144120421084	1010	56026
108.02031803131104	54	70.0	22.247097	116.0	29.0	70.0	22.247097188921824	1050	57076
110.1359031200409	55	75.57143	27.68887	121.0	26.0	75.57142857142857	27.68886905216165	1058	58134
112.15534806251526	56	81.84615	25.340288	140.0	44.0	81.84615384615384	25.34028763678094	1064	59198
114.12675213813782	57	74.85714	11.089617	103.0	62.0	74.85714285714286	11.089616397185914	1048	60246
116.06858706474304	58	81.46154	22.677048	135.0	52.0	81.46153846153847	22.677048324463637	1059	61305
118.06751704216003	59	85.75	27.003471	146.0	47.0	85.75	27.003471998985614	1029	62334
119.99628615379333	60	80.46154	22.775208	114.0	37.0	80.46153846153847	22.77520711588805	1046	63380
121.93669629096985	61	77.61539	29.998817	138.0	36.0	77.61538461538461	29.998816544704564	1009	64389
123.80878496170044	62	64.375	17.52097	86.0	25.0	64.375	17.5209695793355	1030	65419
125.68539905548096	63	58.72222	15.26363	82.0	31.0	58.72222222222222	15.263629812784652	1057	66476
127.69599604606628	64	57.166668	22.534542	117.0	24.0	57.166666666666664	22.53454138773531	1029	67505
129.5072238445282	65	46.136364	17.942574	80.0	23.0	46.13636363636363	17.942573684207712	1015	68520
131.5468089580536	66	39.923077	20.271091	82.0	19.0	39.92307692307692	20.271091725985396	1038	69558
133.3656930923462	67	26.461538	6.6365194	48.0	16.0	26.46153846153846	6.636519607816356	1032	70590
135.1416049003601	68	25.075	5.6452966	46.0	16.0	25.075	5.645296714965476	1003	71593
136.97185492515564	69	22.043478	4.9120817	37.0	14.0	22.043478260869566	4.912081475651687	1014	72607
138.77823305130005	70	19.745098	3.5471232	28.0	14.0	19.745098039215687	3.5471233152961745	1007	73614
140.62123918533325	71	18.017857	3.4563146	26.0	11.0	18.017857142857142	3.456314466867497	1009	74623
142.59146094322205	72	16.766666	3.4562342	25.0	11.0	16.766666666666666	3.456234302757201	1006	75629
144.35941791534424	73	14.940298	2.544415	21.0	10.0	14.940298507462687	2.5444149960427693	1001	76630
146.12921619415283	74	14.764706	2.573151	22.0	9.0	14.764705882352942	2.573151232717577	1004	77634
148.08469891548157	75	15.984127	2.9411802	21.0	10.0	15.984126984126984	2.9411803239789194	1007	78641
149.8809859752655	76	17.275862	2.975724	26.0	11.0	17.275862068965516	2.975724214651735	1002	79643
151.76996684074402	77	17.982143	3.265026	25.0	11.0	17.982142857142858	3.26502609609223	1007	80650
153.7297420501709	78	19.09434	2.8301888	26.0	14.0	19.09433962264151	2.8301886792452833	1012	81662
155.6354751586914	79	20.65306	3.1399403	27.0	13.0	20.653061224489797	3.139940337455821	1012	82674
157.4575319290161	80	20.958334	3.9155583	31.0	15.0	20.958333333333332	3.915558353826721	1006	83680
159.27950501441956	81	22.02174	3.942462	32.0	15.0	22.02173913043478	3.9424618794704287	1013	84693
161.08658003807068	82	24.428572	4.6195383	35.0	15.0	24.428571428571427	4.6195385109794	1026	85719
163.05414199829102	83	27.243244	5.26285	37.0	18.0	27.243243243243242	5.262849939089397	1008	86727
164.8516812324524	84	28.685715	4.602927	37.0	18.0	28.685714285714287	4.60292719641645	1004	87731
166.6639449596405	85	32.967743	6.557359	48.0	21.0	32.96774193548387	6.557359180132936	1022	88753
168.65077424049377	86	34.466667	5.560176	45.0	22.0	34.46666666666667	5.560175856531478	1034	89787
170.47536897659302	87	36.32143	6.228125	52.0	27.0	36.32142857142857	6.2281249840001225	1017	90804
172.39042210578918	88	46.826088	12.578976	91.0	31.0	46.82608695652174	12.5789754677607	1077	91881
174.33513808250427	89	60.35294	23.669144	113.0	26.0	60.35294117647059	23.669143915706417	1026	92907
176.2698130607605	90	72.4	25.168232	119.0	38.0	72.4	25.168233946782994	1086	93993
178.27394104003906	91	77.61539	28.072815	126.0	43.0	77.61538461538461	28.072813187079888	1009	95002
180.2444770336151	92	87.083336	25.763212	124.0	39.0	87.08333333333333	25.76321128189488	1045	96047
182.10312414169312	93	91.63636	14.131027	111.0	61.0	91.63636363636364	14.131027931938396	1008	97055
184.0074498653412	94	100.5	24.344404	137.0	46.0	100.5	24.34440387440202	1005	98060
186.00738215446472	95	94.27273	21.570564	134.0	57.0	94.27272727272727	21.57056457764486	1037	99097
187.9449601173401	96	114.333336	12.884099	134.0	87.0	114.33333333333333	12.884098726725126	1029	100126
189.95009398460388	97	107.3	28.86538	147.0	57.0	107.3	28.865377184440185	1073	101199
191.8166480064392	98	111.888885	25.588385	136.0	48.0	111.88888888888889	25.588384710621444	1007	102206
193.57313704490662	99	110.5	29.890635	161.0	54.0	110.5	29.890633984577846	1105	103311
